hospital_id,quartile,count,feature
6,1,16,num__BMI
6,2,30,num__BMI
6,3,53,num__BMI
6,4,46,num__BMI
7,1,80,num__BMI
7,2,96,num__BMI
7,3,102,num__BMI
7,4,60,num__BMI
8,1,57,num__BMI
8,2,68,num__BMI
8,3,39,num__BMI
8,4,45,num__BMI
9,1,5,num__BMI
9,2,2,num__BMI
9,3,18,num__BMI
9,4,96,num__BMI
10,1,13,num__BMI
10,2,31,num__BMI
10,3,95,num__BMI
10,4,63,num__BMI
1,1,143,num__heartRate
1,2,105,num__heartRate
1,3,27,num__heartRate
1,4,38,num__heartRate
2,1,328,num__heartRate
2,2,357,num__heartRate
2,3,134,num__heartRate
2,4,197,num__heartRate
3,1,71,num__heartRate
3,2,90,num__heartRate
3,3,75,num__heartRate
3,4,118,num__heartRate
4,1,31,num__heartRate
4,2,40,num__heartRate
4,3,28,num__heartRate
4,4,55,num__heartRate
5,1,114,num__heartRate
5,2,130,num__heartRate
5,3,127,num__heartRate
5,4,169,num__heartRate
6,1,21,num__heartRate
6,2,42,num__heartRate
6,3,26,num__heartRate
6,4,56,num__heartRate
7,1,113,num__heartRate
7,2,117,num__heartRate
7,3,50,num__heartRate
7,4,58,num__heartRate
8,1,72,num__heartRate
8,2,86,num__heartRate
8,3,25,num__heartRate
8,4,26,num__heartRate
9,1,20,num__heartRate
9,2,28,num__heartRate
9,3,20,num__heartRate
9,4,53,num__heartRate
10,1,42,num__heartRate
10,2,44,num__heartRate
10,3,51,num__heartRate
10,4,65,num__heartRate
1,1,161,num__glucose
1,2,60,num__glucose
1,3,53,num__glucose
1,4,39,num__glucose
2,1,241,num__glucose
2,2,404,num__glucose
2,3,167,num__glucose
2,4,204,num__glucose
3,1,125,num__glucose
3,2,149,num__glucose
3,3,36,num__glucose
3,4,44,num__glucose
4,1,9,num__glucose
4,2,11,num__glucose
4,3,24,num__glucose
4,4,110,num__glucose
5,1,156,num__glucose
5,2,189,num__glucose
5,3,94,num__glucose
5,4,101,num__glucose
6,1,16,num__glucose
6,2,27,num__glucose
6,3,57,num__glucose
6,4,45,num__glucose
7,1,71,num__glucose
7,2,133,num__glucose
7,3,65,num__glucose
7,4,69,num__glucose
8,1,36,num__glucose
8,2,45,num__glucose
8,3,59,num__glucose
8,4,69,num__glucose
9,1,10,num__glucose
9,2,11,num__glucose
9,3,15,num__glucose
9,4,85,num__glucose
10,1,30,num__glucose
10,2,36,num__glucose
10,3,62,num__glucose
10,4,74,num__glucose
