hospital_id,hospital_name,num__age__mean,num__age__std,num__age__median,num__cigsPerDay__mean,num__cigsPerDay__std,num__cigsPerDay__median,num__totChol__mean,num__totChol__std,num__totChol__median,num__sysBP__mean,num__sysBP__std,num__sysBP__median,num__diaBP__mean,num__diaBP__std,num__diaBP__median,num__BMI__mean,num__BMI__std,num__BMI__median,num__heartRate__mean,num__heartRate__std,num__heartRate__median,num__glucose__mean,num__glucose__std,num__glucose__median
1,Young healthy population,-0.8555977022247045,0.7739543605234094,-1.1166482573822838,0.050338215605140284,0.8699779986733336,-0.1610470130678248,-0.7598272476528155,0.8385791151942796,-0.9247130887023812,-1.0038178887508318,0.4100047624220285,-1.0143319489303932,-1.043047191156938,0.5194802801155212,-1.053370034675043,-0.7047476581800858,0.7672645913338584,-0.8173799791696642,-0.42272412499963635,0.8732058331204543,-0.4699385154619455,-0.33541859546692865,0.5259213016440938,-0.4427553921977962
2,General community,-0.16042983754193738,0.9066798777127029,-0.2995600197390609,-0.2637132570496421,0.7976407899143458,-0.7517932324842362,-0.14343206046198928,0.8912766494259075,-0.2063587677139303,-0.4885894863554416,0.5062366275442313,-0.4887019542591285,-0.4254962058363447,0.6353315987886202,-0.4156627936552654,-0.21492740986321765,0.8568338122731093,-0.3317141368942523,-0.14328383635342504,0.9507192078370673,-0.2194621728398649,-0.12791508355313108,0.5330940579667116,-0.1580399906998169
3,Hypertension clinic,0.3764007902563413,0.8945605222362949,0.4008013268122729,-0.1043086756097514,0.9767256898800507,-0.7517932324842362,0.19067657865865884,0.9023393361538039,0.1752669653111841,1.2817970145273412,0.947259510605072,1.0881880297546658,1.3813265561336103,0.8448984353013225,1.242376032996156,0.5421682068243167,1.0337182495106145,0.4547193843537504,0.29658513192201114,1.1120645499175033,0.197998398196936,-0.2451704101789537,0.5177295468133511,-0.3003976914488065
4,Diabetes & obesity clinic,0.4849356444174656,0.9429726500171856,0.5758916634501063,-0.4098399477756641,0.7278139852257097,-0.7517932324842362,0.2921744664136065,1.0925685717225073,0.1752669653111841,0.29870424329189665,0.9962082974125581,0.11691521351428524,0.3125933543145064,0.947235554752374,0.222044447364512,0.7884965882380652,1.0995740709414086,0.799862622519018,0.29775520997715865,1.0499170295351201,0.197998398196936,1.8349678197860382,2.9609326160642624,0.5300222295869665
5,Heavy smokers,-0.2982630542824844,0.8441875947235271,-0.4162869108309499,1.2229869867077676,0.8779311789316713,0.9360531087055106,0.14404682092100315,0.8865930297203993,0.1303698202494059,-0.2211892975508302,0.6298024634115119,-0.2144602179089033,-0.16538238387725646,0.7407244840036029,-0.1605798972473544,-0.20009403694313213,0.8215692926860387,-0.2676161069492736,0.19567917280228717,0.9555539687481489,0.197998398196936,-0.13308345550678413,0.6272845397554844,-0.18176627415798186
6,Cardiology referral center,0.9063495171964541,0.8645821228430836,1.1011626733636066,0.2323957892233024,1.0026075571790416,0.0077376210511498,0.8395898944839087,1.304767951113568,0.8487241412378567,1.0434267348561235,0.9037278259625516,0.9739206396087388,0.5853176756971578,0.9452352545629107,0.4346135277044379,0.31922941071143435,0.9987640666452557,0.2106538087940259,0.3845600878740719,1.0097030783326748,0.3649826266116564,0.1256936335516177,0.5434783322025243,0.0792228438818325
7,Women's preventive clinic,-0.19388419525942183,0.9208876457346493,-0.2995600197390609,-0.39824435391549634,0.694242814920174,-0.7517932324842362,-0.1396772090718811,0.9464174373394698,-0.2737044853065976,-0.3382611595403783,0.6304525497035479,-0.4201415201715722,-0.3107618392153257,0.7087642741373915,-0.2456075293833247,-0.05142748524135896,0.8936144545931486,-0.1628404810776748,-0.20217090658390272,0.8965595248126851,-0.3029542870472251,-0.10356781329290565,0.49173449194119156,-0.1580399906998169
8,Geriatric hospital,1.044753984367048,0.834939069656303,1.2178895644554957,-0.6048133118638851,0.438673348732229,-0.7517932324842362,-0.050185444939228295,0.9529420214472395,-0.116564477590374,1.066099979219281,0.9025075865716933,0.8596532494628116,0.6219590999466117,0.9150087598131134,0.5196411598404082,-0.019150721825787944,1.0607584707593518,-0.2429630185088979,-0.2773873238449713,0.8006273647392631,-0.3029542870472251,0.06196736500316714,0.6394625626876168,0.0317702769655026
9,Metabolic syndrome clinic,0.3091562470293849,0.9128120765128716,0.2840744357203839,-0.18406309953859407,1.0266190381003266,-0.7517932324842362,0.5945543530782034,1.0721052766233066,0.7364812785834112,1.225497769649028,0.9604965274011799,1.042481073696295,1.23183541744211,0.7651361175801943,1.1998622169281707,1.177115999016544,1.1208758968835046,1.03653227154663,0.4436446185095,1.1179475369908822,0.3649826266116564,0.7545395399968744,1.831148181437285,0.4113908122961418
10,General tertiary hospital,0.3083443833731529,0.8616774617372961,0.4008013268122729,-0.2901421911439713,0.8205127996967765,-0.7517932324842362,0.28362022381423785,0.9762672783760239,0.1864912515766286,0.11001391569359069,0.5790551803331203,0.0826349964705071,0.2578234014811332,0.6340441326340502,0.2645582634324972,0.32828077235261277,0.7417742664361006,0.23407424281238304,0.18931852493775503,1.0310232435121416,0.3649826266116564,0.11657412180112192,0.6235740421998401,0.0317702769655026
