feature,Q1,Q2,Q3
num__age,-0.8831944751985058,-0.066106237555283,0.7509820000879398
num__cigsPerDay,-0.7517932324842362,-0.7517932324842362,0.9360531087055106
num__totChol,-0.6777787908626012,-0.0716673325285958,0.6017898433980767
num__sysBP,-0.6943832565217973,-0.1916067398797179,0.4939976009958448
num__diaBP,-0.6707456900631764,-0.0755522651113841,0.6046687919763786
num__BMI,-0.6719267573714444,-0.1073710320868283,0.5607276646473682
num__heartRate,-0.6369227438766659,-0.0524779444251445,0.5319668550263769
num__glucose,-0.4427553921977962,-0.1580399906998169,0.1741279777144923
