hospital_id,hospital_name,num__age,num__cigsPerDay,num__totChol,num__sysBP,num__diaBP,num__BMI,num__heartRate,num__glucose,num__male,num__currentSmoker,num__BPMeds,num__prevalentStroke,num__prevalentHyp,num__diabetes
1,Young healthy population,-0.8555977022247045,0.050338215605140284,-0.7598272476528155,-1.0038178887508318,-1.043047191156938,-0.7047476581800858,-0.42272412499963635,-0.33541859546692865,0.006062557935798906,0.20669500394810722,-0.1706640371965722,-0.0709720863229836,-0.6349056905825397,-0.1321010108276451
2,General community,-0.16042983754193738,-0.2637132570496421,-0.14343206046198928,-0.4885894863554416,-0.4254962058363447,-0.21492740986321765,-0.14328383635342504,-0.12791508355313108,-0.36219478814302897,-0.1791648870014158,-0.16472887054865992,-0.0709720863229836,-0.5857083603139028,-0.1534161392039829
3,Hypertension clinic,0.3764007902563413,-0.1043086756097514,0.19067657865865884,1.2817970145273412,1.3813265561336103,0.5421682068243167,0.29658513192201114,-0.2451704101789537,0.04290339336761321,-0.14640981793616265,0.6299463519873477,0.12904230118745205,1.3802393476337949,-0.1534161392039829
4,Diabetes & obesity clinic,0.4849356444174656,-0.4098399477756641,0.2921744664136065,0.29870424329189665,0.3125933543145064,0.7884965882380652,0.29775520997715865,1.8349678197860382,0.13833734106137602,-0.5207112864579494,0.02511938209819683,0.02098258014285304,0.32449067466926695,2.532566856063619
5,Heavy smokers,-0.2982630542824844,1.2229869867077676,0.14404682092100315,-0.2211892975508302,-0.16538238387725646,-0.20009403694313213,0.19567917280228717,-0.13308345550678413,0.7058733147431695,1.0007509273229218,-0.14833022492146522,-0.0709720863229836,-0.26450888873159834,-0.12870637927141354
6,Cardiology referral center,0.9063495171964541,0.2323957892233024,0.8395898944839087,1.0434267348561235,0.5853176756971578,0.31922941071143435,0.3845600878740719,0.1256936335516177,0.17239815559945346,0.4463062446367436,0.4947295423100635,0.41733890111628685,1.1945443545301482,-0.1534161392039829
7,Women's preventive clinic,-0.19388419525942183,-0.39824435391549634,-0.1396772090718811,-0.3382611595403783,-0.3107618392153257,-0.05142748524135896,-0.20217090658390272,-0.10356781329290565,-0.1776835960407001,-0.38468399969413986,-0.15282341792355772,0.012820923355944465,-0.4763275476267758,-0.1534161392039829
8,Geriatric hospital,1.044753984367048,-0.6048133118638851,-0.050185444939228295,1.066099979219281,0.6219590999466117,-0.019150721825787944,-0.2773873238449713,0.06196736500316714,-0.27922230860895203,-0.6820348756725727,0.26212036334975936,0.13229612375939215,1.1661660284264577,-0.12149443976956317
9,Metabolic syndrome clinic,0.3091562470293849,-0.18406309953859407,0.5945543530782034,1.225497769649028,1.23183541744211,1.177115999016544,0.4436446185095,0.7545395399968744,-0.09093081095508343,-0.2940131148651352,0.22802219845823019,-0.0709720863229836,1.1860034946766271,0.5082336308912623
10,General tertiary hospital,0.3083443833731529,-0.2901421911439713,0.28362022381423785,0.11001391569359069,0.2578234014811332,0.32828077235261277,0.18931852493775503,0.11657412180112192,0.26162572231280135,-0.23574869205064533,-0.14081191187835987,-0.00086803367081111,-0.006839905550147864,-0.1534161392039829
